Cuts,Setting,Value,Gap
2,InfProofCuts,0,0.7339
2,InfProofCuts,1,0.7339
2,InfProofCuts,2,0.7339
2,LiftProjectCuts,0,0.7339
2,LiftProjectCuts,1,0.7339
2,LiftProjectCuts,2,0.7339
2,MIPSepCuts,0,0.7135
2,MIPSepCuts,1,0.7135
2,MIPSepCuts,2,0.7339
2,MIRCuts,0,0.7344
2,MIRCuts,1,0.7339
2,MIRCuts,2,0.7339
2,MixingCuts,0,0.7339
2,MixingCuts,1,0.7339
2,MixingCuts,2,0.7339
2,ModKCuts,0,0.7339
2,ModKCuts,1,0.7339
2,ModKCuts,2,0.7339
2,NetworkCuts,0,0.7339
2,NetworkCuts,1,0.7339
2,NetworkCuts,2,0.7339
2,ProjImpliedCuts,0,0.7339
2,ProjImpliedCuts,1,0.7339
2,ProjImpliedCuts,2,0.7339
2,PSDCuts,0,0.7339
2,PSDCuts,1,0.7339
2,PSDCuts,2,0.7339
2,RelaxLiftCuts,0,0.734
2,RelaxLiftCuts,1,0.7253
2,RelaxLiftCuts,2,0.7253
2,RLTCuts,0,0.7339
2,RLTCuts,1,0.7339
2,RLTCuts,2,0.7339
2,StrongCGCuts,0,0.7339
2,StrongCGCuts,1,0.7339
2,StrongCGCuts,2,0.7339
2,SubMIPCuts,0,0.7339
2,SubMIPCuts,1,0.7339
2,SubMIPCuts,2,0.2954
2,ZeroHalfCuts,0,0.7339
2,ZeroHalfCuts,1,0.7339
2,ZeroHalfCuts,2,0.7339
2,CutAggPasses,0,0.7339
2,CutAggPasses,1,0.7339
2,CutAggPasses,2,0.7339
2,CutPasses,0,0.5036
2,CutPasses,1,0.2251
2,CutPasses,2,0.7339
2,GomoryPasses,0,0.7345
2,GomoryPasses,1,0.7339
2,GomoryPasses,2,0.7339
3,None,N/A,0.1388
3,BQPCuts,0,0.1388
3,BQPCuts,1,0.1388
3,BQPCuts,2,0.1388
3,CliqueCuts,0,0.1388
3,CliqueCuts,1,0.1388
3,CliqueCuts,2,0.1388
3,CoverCuts,0,0.1431
3,CoverCuts,1,0.1388
3,CoverCuts,2,0.1388
3,FlowCoverCuts,0,0.2954
3,FlowCoverCuts,1,0.1388
3,FlowCoverCuts,2,0.1388
3,FlowPathCuts,0,0.1388
3,FlowPathCuts,1,0.1388
3,FlowPathCuts,2,0.1388
3,GUBCoverCuts,0,0.1388
3,GUBCoverCuts,1,0.1388
3,GUBCoverCuts,2,0.1388
3,ImpliedCuts,0,0.1388
3,ImpliedCuts,1,0.1388
3,ImpliedCuts,2,0.1388
3,InfProofCuts,0,0.1388
3,InfProofCuts,1,0.1388
3,InfProofCuts,2,0.1388
3,LiftProjectCuts,0,0.1388
3,LiftProjectCuts,1,0.1388
3,LiftProjectCuts,2,0.1388
3,MIPSepCuts,0,0.1388
3,MIPSepCuts,1,0.1388
3,MIPSepCuts,2,0.1388
3,MIRCuts,0,0.1392
3,MIRCuts,1,0.1388
3,MIRCuts,2,0.1388
3,MixingCuts,0,0.1388
3,MixingCuts,1,0.1388
3,MixingCuts,2,0.1388
3,ModKCuts,0,0.1388
3,ModKCuts,1,0.1388
3,ModKCuts,2,0.1388
3,NetworkCuts,0,0.1388
3,NetworkCuts,1,0.1388
3,NetworkCuts,2,0.1388
3,ProjImpliedCuts,0,0.1388
3,ProjImpliedCuts,1,0.1388
3,ProjImpliedCuts,2,0.1388
3,PSDCuts,0,0.1388
3,PSDCuts,1,0.1388
3,PSDCuts,2,0.1388
3,RelaxLiftCuts,0,0.1388
3,RelaxLiftCuts,1,0.1382
3,RelaxLiftCuts,2,0.1382
3,RLTCuts,0,0.1388
3,RLTCuts,1,0.1388
3,RLTCuts,2,0.1388
3,StrongCGCuts,0,0.1388
3,StrongCGCuts,1,0.1388
3,StrongCGCuts,2,0.1388
3,SubMIPCuts,0,0.1388
3,SubMIPCuts,1,0.1388
3,SubMIPCuts,2,0.2954
3,ZeroHalfCuts,0,0.1388
3,ZeroHalfCuts,1,0.1388
3,ZeroHalfCuts,2,0.1388
3,CutAggPasses,0,0.1388
3,CutAggPasses,1,0.1388
3,CutAggPasses,2,0.1388
3,CutPasses,0,0.5036
3,CutPasses,1,0.2269
3,CutPasses,2,0.1388
3,GomoryPasses,0,0.7345
3,GomoryPasses,1,0.7339
3,GomoryPasses,2,0.7339
