Cuts,CoverCuts,FlowCoverCuts,LiftProjectCuts,MIRCuts,RelaxLiftCuts,SubMIPCuts,CutPasses,GomoryPasses,Gap
0,0,0,0,0,0,1,0,0,0.5036
0,0,0,0,0,0,1,0,1,0.5036
0,0,0,0,0,0,1,1,0,0.2982
0,0,0,0,0,0,1,1,1,0.6556
0,0,0,0,0,0,1,2,0,0.2982
0,0,0,0,0,0,1,2,1,0.7408
0,0,0,0,0,0,2,0,0,0.5036
0,0,0,0,0,0,2,0,1,0.5036
0,0,0,0,0,0,2,1,0,0.9939
0,0,0,0,0,0,2,1,1,0.2954
0,0,0,0,0,0,2,2,0,0.9939
0,0,0,0,0,0,2,2,1,0.2954
0,0,0,0,0,1,1,0,0,0.5036
0,0,0,0,0,1,1,0,1,0.5036
0,0,0,0,0,1,1,1,0,0.5207
0,0,0,0,0,1,1,1,1,0.5197
0,0,0,0,0,1,1,2,0,0.727
0,0,0,0,0,1,1,2,1,0.7227
0,0,0,0,0,1,2,0,0,0.5036
0,0,0,0,0,1,2,0,1,0.5036
0,0,0,0,0,1,2,1,0,0.2954
0,0,0,0,0,1,2,1,1,0.2954
0,0,0,0,0,1,2,2,0,0.2954
0,0,0,0,0,1,2,2,1,0.2954
0,0,0,0,1,0,1,0,0,0.5036
0,0,0,0,1,0,1,0,1,0.5036
0,0,0,0,1,0,1,1,0,0.9734
0,0,0,0,1,0,1,1,1,0.5917
0,0,0,0,1,0,1,2,0,0.7268
0,0,0,0,1,0,1,2,1,0.7225
0,0,0,0,1,0,2,0,0,0.5036
0,0,0,0,1,0,2,0,1,0.5036
0,0,0,0,1,0,2,1,0,0.2954
0,0,0,0,1,0,2,1,1,0.2954
0,0,0,0,1,0,2,2,0,0.2954
0,0,0,0,1,0,2,2,1,0.2954
0,0,0,0,1,1,1,0,0,0.5036
0,0,0,0,1,1,1,0,1,0.5036
0,0,0,0,1,1,1,1,0,0.5411
0,0,0,0,1,1,1,1,1,0.7989
0,0,0,0,1,1,1,2,0,0.727
0,0,0,0,1,1,1,2,1,0.7227
0,0,0,0,1,1,2,0,0,0.5036
0,0,0,0,1,1,2,0,1,0.5036
0,0,0,0,1,1,2,1,0,0.2954
0,0,0,0,1,1,2,1,1,0.2954
0,0,0,0,1,1,2,2,0,0.2954
0,0,0,0,1,1,2,2,1,0.2954
0,0,0,1,0,0,1,0,0,0.5036
0,0,0,1,0,0,1,0,1,0.5036
0,0,0,1,0,0,1,1,0,0.5958
0,0,0,1,0,0,1,1,1,0.6556
0,0,0,1,0,0,1,2,0,0.727
0,0,0,1,0,0,1,2,1,0.7408
0,0,0,1,0,0,2,0,0,0.5036
0,0,0,1,0,0,2,0,1,0.5036
0,0,0,1,0,0,2,1,0,0.585
0,0,0,1,0,0,2,1,1,0.2954
0,0,0,1,0,0,2,2,0,0.7163
0,0,0,1,0,0,2,2,1,0.2954
0,0,0,1,0,1,1,0,0,0.5036
0,0,0,1,0,1,1,0,1,0.5036
0,0,0,1,0,1,1,1,0,0.5125
0,0,0,1,0,1,1,1,1,0.5197
0,0,0,1,0,1,1,2,0,0.727
0,0,0,1,0,1,1,2,1,0.7227
0,0,0,1,0,1,2,0,0,0.5036
0,0,0,1,0,1,2,0,1,0.5036
0,0,0,1,0,1,2,1,0,0.2954
0,0,0,1,0,1,2,1,1,0.2954
0,0,0,1,0,1,2,2,0,0.2954
0,0,0,1,0,1,2,2,1,0.2954
0,0,0,1,1,0,1,0,0,0.5036
0,0,0,1,1,0,1,0,1,0.5036
0,0,0,1,1,0,1,1,0,0.9734
0,0,0,1,1,0,1,1,1,0.5917
0,0,0,1,1,0,1,2,0,0.7268
0,0,0,1,1,0,1,2,1,0.7225
0,0,0,1,1,0,2,0,0,0.5036
0,0,0,1,1,0,2,0,1,0.5036
0,0,0,1,1,0,2,1,0,0.2954
0,0,0,1,1,0,2,1,1,0.2954
0,0,0,1,1,0,2,2,0,0.2954
0,0,0,1,1,0,2,2,1,0.2954
0,0,0,1,1,1,1,0,0,0.5036
0,0,0,1,1,1,1,0,1,0.5036
0,0,0,1,1,1,1,1,0,0.5411
0,0,0,1,1,1,1,1,1,0.7989
0,0,0,1,1,1,1,2,0,0.727
0,0,0,1,1,1,1,2,1,0.7227
0,0,0,1,1,1,2,0,0,0.5036
0,0,0,1,1,1,2,0,1,0.5036
0,0,0,1,1,1,2,1,0,0.2954
0,0,0,1,1,1,2,1,1,0.2954
0,0,0,1,1,1,2,2,0,0.2954
0,0,0,1,1,1,2,2,1,0.2954
0,0,1,0,0,0,1,0,0,0.5036
0,0,1,0,0,0,1,0,1,0.5036
0,0,1,0,0,0,1,1,0,0.2534
0,0,1,0,0,0,1,1,1,0.2251
0,0,1,0,0,0,1,2,0,0.7139
0,0,1,0,0,0,1,2,1,0.7136
0,0,1,0,0,0,2,0,0,0.5036
