Cuts,CoverCuts,FlowCoverCuts,LiftProjectCuts,MIRCuts,RelaxLiftCuts,SubMIPCuts,CutPasses,GomoryPasses,Gap
0,0,0,0,0,0,1,0,0,0.9529
0,0,0,0,0,0,1,0,1,0.9529
0,0,0,0,0,0,1,1,0,0.2357
0,0,0,0,0,0,1,1,1,0.4047
0,0,0,0,0,0,1,2,0,0.2357
0,0,0,0,0,0,1,2,1,0.9711
0,0,0,0,0,0,2,0,0,0.9529
0,0,0,0,0,0,2,0,1,0.9529
0,0,0,0,0,0,2,1,0,0.9932
0,0,0,0,0,0,2,1,1,0.9932
0,0,0,0,0,0,2,2,0,0.9932
0,0,0,0,0,0,2,2,1,0.9932
0,0,0,0,0,1,1,0,0,0.9529
0,0,0,0,0,1,1,0,1,0.9529
0,0,0,0,0,1,1,1,0,0.4516
0,0,0,0,0,1,1,1,1,0.3953
0,0,0,0,0,1,1,2,0,0.4522
0,0,0,0,0,1,1,2,1,0.9555
0,0,0,0,0,1,2,0,0,0.9529
0,0,0,0,0,1,2,0,1,0.9529
0,0,0,0,0,1,2,1,0,0.9932
0,0,0,0,0,1,2,1,1,0.9932
0,0,0,0,0,1,2,2,0,0.9932
0,0,0,0,0,1,2,2,1,0.9932
0,0,0,0,1,0,1,0,0,0.9529
0,0,0,0,1,0,1,0,1,0.9529
0,0,0,0,1,0,1,1,0,0.9994
0,0,0,0,1,0,1,1,1,0.9994
0,0,0,0,1,0,1,2,0,0.9994
0,0,0,0,1,0,1,2,1,0.9994
0,0,0,0,1,0,2,0,0,0.9529
0,0,0,0,1,0,2,0,1,0.9529
0,0,0,0,1,0,2,1,0,0.9932
0,0,0,0,1,0,2,1,1,0.9932
0,0,0,0,1,0,2,2,0,0.9932
0,0,0,0,1,0,2,2,1,0.9932
0,0,0,0,1,1,1,0,0,0.9529
0,0,0,0,1,1,1,0,1,0.9529
0,0,0,0,1,1,1,1,0,0.9947
0,0,0,0,1,1,1,1,1,0.9955
0,0,0,0,1,1,1,2,0,0.9947
0,0,0,0,1,1,1,2,1,0.9955
0,0,0,0,1,1,2,0,0,0.9529
0,0,0,0,1,1,2,0,1,0.9529
0,0,0,0,1,1,2,1,0,0.9932
0,0,0,0,1,1,2,1,1,0.9932
0,0,0,0,1,1,2,2,0,0.9932
0,0,0,0,1,1,2,2,1,0.9932
0,0,0,1,0,0,1,0,0,0.9529
0,0,0,1,0,0,1,0,1,0.9529
0,0,0,1,0,0,1,1,0,0.9987
0,0,0,1,0,0,1,1,1,0.4047
0,0,0,1,0,0,1,2,0,0.9987
0,0,0,1,0,0,1,2,1,0.9711
0,0,0,1,0,0,2,0,0,0.9529
0,0,0,1,0,0,2,0,1,0.9529
0,0,0,1,0,0,2,1,0,0.9932
0,0,0,1,0,0,2,1,1,0.9932
0,0,0,1,0,0,2,2,0,0.9932
0,0,0,1,0,0,2,2,1,0.9932
0,0,0,1,0,1,1,0,0,0.9529
0,0,0,1,0,1,1,0,1,0.9529
0,0,0,1,0,1,1,1,0,0.2281
0,0,0,1,0,1,1,1,1,0.3953
0,0,0,1,0,1,1,2,0,0.9772
0,0,0,1,0,1,1,2,1,0.9555
0,0,0,1,0,1,2,0,0,0.9529
0,0,0,1,0,1,2,0,1,0.9529
0,0,0,1,0,1,2,1,0,0.9932
0,0,0,1,0,1,2,1,1,0.9932
0,0,0,1,0,1,2,2,0,0.9932
0,0,0,1,0,1,2,2,1,0.9932
0,0,0,1,1,0,1,0,0,0.9529
0,0,0,1,1,0,1,0,1,0.9529
0,0,0,1,1,0,1,1,0,0.9932
0,0,0,1,1,0,1,1,1,0.9994
0,0,0,1,1,0,1,2,0,0.9994
0,0,0,1,1,0,1,2,1,0.9994
0,0,0,1,1,0,2,0,0,0.9529
0,0,0,1,1,0,2,0,1,0.9529
0,0,0,1,1,0,2,1,0,0.9932
0,0,0,1,1,0,2,1,1,0.9932
0,0,0,1,1,0,2,2,0,0.9932
0,0,0,1,1,0,2,2,1,0.9932
0,0,0,1,1,1,1,0,0,0.9529
0,0,0,1,1,1,1,0,1,0.9529
0,0,0,1,1,1,1,1,0,0.9932
0,0,0,1,1,1,1,1,1,0.9955
0,0,0,1,1,1,1,2,0,0.9947
0,0,0,1,1,1,1,2,1,0.9955
0,0,0,1,1,1,2,0,0,0.9529
0,0,0,1,1,1,2,0,1,0.9529
0,0,0,1,1,1,2,1,0,0.9932
0,0,0,1,1,1,2,1,1,0.9932
0,0,0,1,1,1,2,2,0,0.9932
0,0,0,1,1,1,2,2,1,0.9932
0,0,1,0,0,0,1,0,0,0.9529
0,0,1,0,0,0,1,0,1,0.9529
0,0,1,0,0,0,1,1,0,0.9994
0,0,1,0,0,0,1,1,1,0.9994
0,0,1,0,0,0,1,2,0,0.9994
0,0,1,0,0,0,1,2,1,0.9994
0,0,1,0,0,0,2,0,0,0.9529
0,0,1,0,0,0,2,0,1,0.9529
0,0,1,0,0,0,2,1,0,0.9932
0,0,1,0,0,0,2,1,1,0.9932
0,0,1,0,0,0,2,2,0,0.9932
0,0,1,0,0,0,2,2,1,0.9932
0,0,1,0,0,1,1,0,0,0.9529
0,0,1,0,0,1,1,0,1,0.9529
0,0,1,0,0,1,1,1,0,0.9967
0,0,1,0,0,1,1,1,1,0.9947
0,0,1,0,0,1,1,2,0,0.9967
0,0,1,0,0,1,1,2,1,0.9947
0,0,1,0,0,1,2,0,0,0.9529
0,0,1,0,0,1,2,0,1,0.9529
0,0,1,0,0,1,2,1,0,0.9932
0,0,1,0,0,1,2,1,1,0.9932
0,0,1,0,0,1,2,2,0,0.9932
0,0,1,0,0,1,2,2,1,0.9932
0,0,1,0,1,0,1,0,0,0.9529
0,0,1,0,1,0,1,0,1,0.9529
0,0,1,0,1,0,1,1,0,0.9994
0,0,1,0,1,0,1,1,1,0.9994
0,0,1,0,1,0,1,2,0,0.9994
0,0,1,0,1,0,1,2,1,0.9994
0,0,1,0,1,0,2,0,0,0.9529
0,0,1,0,1,0,2,0,1,0.9529
0,0,1,0,1,0,2,1,0,0.9932
0,0,1,0,1,0,2,1,1,0.9932
0,0,1,0,1,0,2,2,0,0.9932
0,0,1,0,1,0,2,2,1,0.9932
0,0,1,0,1,1,1,0,0,0.9529
0,0,1,0,1,1,1,0,1,0.9529
0,0,1,0,1,1,1,1,0,0.9967
0,0,1,0,1,1,1,1,1,0.9947
0,0,1,0,1,1,1,2,0,0.9967
0,0,1,0,1,1,1,2,1,0.9947
0,0,1,0,1,1,2,0,0,0.9529
0,0,1,0,1,1,2,0,1,0.9529
0,0,1,0,1,1,2,1,0,0.9932
0,0,1,0,1,1,2,1,1,0.9932
0,0,1,0,1,1,2,2,0,0.9932
0,0,1,0,1,1,2,2,1,0.9932
0,0,1,1,0,0,1,0,0,0.9529
0,0,1,1,0,0,1,0,1,0.9529
0,0,1,1,0,0,1,1,0,0.9932
0,0,1,1,0,0,1,1,1,0.9994
0,0,1,1,0,0,1,2,0,0.9994
0,0,1,1,0,0,1,2,1,0.9994
0,0,1,1,0,0,2,0,0,0.9529
0,0,1,1,0,0,2,0,1,0.9529
0,0,1,1,0,0,2,1,0,0.9932
0,0,1,1,0,0,2,1,1,0.9932
0,0,1,1,0,0,2,2,0,0.9932
0,0,1,1,0,0,2,2,1,0.9932
0,0,1,1,0,1,1,0,0,0.9529
0,0,1,1,0,1,1,0,1,0.9529
0,0,1,1,0,1,1,1,0,0.9932
0,0,1,1,0,1,1,1,1,0.9947
0,0,1,1,0,1,1,2,0,0.9967
0,0,1,1,0,1,1,2,1,0.9947
0,0,1,1,0,1,2,0,0,0.9529
0,0,1,1,0,1,2,0,1,0.9529
0,0,1,1,0,1,2,1,0,0.9275
0,0,1,1,0,1,2,1,1,0.9932
0,0,1,1,0,1,2,2,0,0.9932
0,0,1,1,0,1,2,2,1,0.9932
0,0,1,1,1,0,1,0,0,0.9529
0,0,1,1,1,0,1,0,1,0.9529
0,0,1,1,1,0,1,1,0,0.9932
0,0,1,1,1,0,1,1,1,0.9994
0,0,1,1,1,0,1,2,0,0.9994
0,0,1,1,1,0,1,2,1,0.9994
0,0,1,1,1,0,2,0,0,0.9529
0,0,1,1,1,0,2,0,1,0.9529
0,0,1,1,1,0,2,1,0,0.9278
0,0,1,1,1,0,2,1,1,0.9932
0,0,1,1,1,0,2,2,0,0.9932
0,0,1,1,1,0,2,2,1,0.9932
0,0,1,1,1,1,1,0,0,0.9529
0,0,1,1,1,1,1,0,1,0.9529
0,0,1,1,1,1,1,1,0,0.9932
0,0,1,1,1,1,1,1,1,0.9947
0,0,1,1,1,1,1,2,0,0.9967
0,0,1,1,1,1,1,2,1,0.9947
0,0,1,1,1,1,2,0,0,0.9529
0,0,1,1,1,1,2,0,1,0.9529
0,0,1,1,1,1,2,1,0,0.9275
0,0,1,1,1,1,2,1,1,0.9932
0,0,1,1,1,1,2,2,0,0.9932
0,0,1,1,1,1,2,2,1,0.9932
0,1,0,0,0,0,1,0,0,0.9529
0,1,0,0,0,0,1,0,1,0.9529
0,1,0,0,0,0,1,1,0,0.4156
0,1,0,0,0,0,1,1,1,0.9926
0,1,0,0,0,0,1,2,0,0.9504
0,1,0,0,0,0,1,2,1,0.9427
0,1,0,0,0,0,2,0,0,0.9529
0,1,0,0,0,0,2,0,1,0.9529
0,1,0,0,0,0,2,1,0,0.9932
0,1,0,0,0,0,2,1,1,0.9932
0,1,0,0,0,0,2,2,0,0.9932
0,1,0,0,0,0,2,2,1,0.9932
0,1,0,0,0,1,1,0,0,0.9529
