Cuts,Setting,Value,Gap
-1,None,N/A,0.9932
-1,BQPCuts,0,0.9932
-1,BQPCuts,1,0.9932
-1,BQPCuts,2,0.9932
-1,CliqueCuts,0,0.9932
-1,CliqueCuts,1,0.9932
-1,CliqueCuts,2,0.9932
-1,CoverCuts,0,0.9932
-1,CoverCuts,1,0.9932
-1,CoverCuts,2,0.9932
-1,FlowCoverCuts,0,0.9932
-1,FlowCoverCuts,1,0.9932
-1,FlowCoverCuts,2,0.9932
-1,FlowPathCuts,0,0.9932
-1,FlowPathCuts,1,0.9932
-1,FlowPathCuts,2,0.9932
-1,GUBCoverCuts,0,0.9932
-1,GUBCoverCuts,1,0.9932
-1,GUBCoverCuts,2,0.9932
-1,ImpliedCuts,0,0.9932
-1,ImpliedCuts,1,0.9932
-1,ImpliedCuts,2,0.9932
-1,InfProofCuts,0,0.9932
-1,InfProofCuts,1,0.9932
-1,InfProofCuts,2,0.9932
-1,LiftProjectCuts,0,0.9932
-1,LiftProjectCuts,1,0.9932
-1,LiftProjectCuts,2,0.9932
-1,MIPSepCuts,0,0.9932
-1,MIPSepCuts,1,0.9932
-1,MIPSepCuts,2,0.9233
-1,MIRCuts,0,0.9932
-1,MIRCuts,1,0.9932
-1,MIRCuts,2,0.9932
-1,MixingCuts,0,0.9932
-1,MixingCuts,1,0.9932
-1,MixingCuts,2,0.9932
-1,ModKCuts,0,0.9932
-1,ModKCuts,1,0.9932
-1,ModKCuts,2,0.9932
-1,NetworkCuts,0,0.9932
-1,NetworkCuts,1,0.9932
-1,NetworkCuts,2,0.9932
-1,ProjImpliedCuts,0,0.9932
-1,ProjImpliedCuts,1,0.9932
-1,ProjImpliedCuts,2,0.9932
-1,PSDCuts,0,0.9932
-1,PSDCuts,1,0.9932
-1,PSDCuts,2,0.9932
-1,RelaxLiftCuts,0,0.9932
-1,RelaxLiftCuts,1,0.9932
-1,RelaxLiftCuts,2,0.9932
-1,RLTCuts,0,0.9932
-1,RLTCuts,1,0.9932
-1,RLTCuts,2,0.9932
-1,StrongCGCuts,0,0.9932
