Cuts,Setting,Value,Gap
-1,StrongCGCuts,1,0.9932
-1,StrongCGCuts,2,0.9932
-1,SubMIPCuts,0,0.9932
-1,SubMIPCuts,1,0.9932
-1,SubMIPCuts,2,0.9932
-1,ZeroHalfCuts,0,0.9932
-1,ZeroHalfCuts,1,0.9932
-1,ZeroHalfCuts,2,0.9932
-1,CutAggPasses,0,0.9932
-1,CutAggPasses,1,0.9932
-1,CutAggPasses,2,0.9932
-1,CutPasses,0,0.9529
-1,CutPasses,1,0.9932
-1,CutPasses,2,0.9932
-1,GomoryPasses,0,0.9932
-1,GomoryPasses,1,0.9932
-1,GomoryPasses,2,0.9932
0,None,N/A,0.2357
0,BQPCuts,0,0.2357
0,BQPCuts,1,0.2357
0,BQPCuts,2,0.2357
0,CliqueCuts,0,0.2357
0,CliqueCuts,1,0.2357
0,CliqueCuts,2,0.2357
0,CoverCuts,0,0.2357
0,CoverCuts,1,0.9504
0,CoverCuts,2,0.9504
0,FlowCoverCuts,0,0.2357
0,FlowCoverCuts,1,0.9994
0,FlowCoverCuts,2,0.9994
0,FlowPathCuts,0,0.2357
0,FlowPathCuts,1,0.2357
0,FlowPathCuts,2,0.2357
0,GUBCoverCuts,0,0.2357
0,GUBCoverCuts,1,0.2357
0,GUBCoverCuts,2,0.2357
0,ImpliedCuts,0,0.2357
0,ImpliedCuts,1,0.2357
0,ImpliedCuts,2,0.2357
0,InfProofCuts,0,0.2357
0,InfProofCuts,1,0.2357
0,InfProofCuts,2,0.2357
0,LiftProjectCuts,0,0.2357
0,LiftProjectCuts,1,0.9987
0,LiftProjectCuts,2,0.9987
0,MIPSepCuts,0,0.2357
0,MIPSepCuts,1,0.2357
0,MIPSepCuts,2,0.2357
0,MIRCuts,0,0.2357
0,MIRCuts,1,0.9994
0,MIRCuts,2,0.9994
0,MixingCuts,0,0.2357
0,MixingCuts,1,0.2357
0,MixingCuts,2,0.2357
0,ModKCuts,0,0.2357
0,ModKCuts,1,0.2357
0,ModKCuts,2,0.2357
0,NetworkCuts,0,0.2357
0,NetworkCuts,1,0.2357
0,NetworkCuts,2,0.2357
0,ProjImpliedCuts,0,0.2357
0,ProjImpliedCuts,1,0.2357
0,ProjImpliedCuts,2,0.2357
0,PSDCuts,0,0.2357
0,PSDCuts,1,0.2357
0,PSDCuts,2,0.2357
0,RelaxLiftCuts,0,0.2357
0,RelaxLiftCuts,1,0.4522
0,RelaxLiftCuts,2,0.4522
0,RLTCuts,0,0.2357
0,RLTCuts,1,0.2357
0,RLTCuts,2,0.2357
0,StrongCGCuts,0,0.2357
0,StrongCGCuts,1,0.2357
0,StrongCGCuts,2,0.2357
0,SubMIPCuts,0,0.2357
0,SubMIPCuts,1,0.2357
0,SubMIPCuts,2,0.9932
0,ZeroHalfCuts,0,0.2357
0,ZeroHalfCuts,1,0.2357
0,ZeroHalfCuts,2,0.2357
0,CutAggPasses,0,0.2357
0,CutAggPasses,1,0.2357
0,CutAggPasses,2,0.2357
0,CutPasses,0,0.9529
0,CutPasses,1,0.2357
0,CutPasses,2,0.2357
0,GomoryPasses,0,0.2357
0,GomoryPasses,1,0.9711
0,GomoryPasses,2,0.9711
1,None,N/A,0.9932
1,BQPCuts,0,0.9932
1,BQPCuts,1,0.9932
1,BQPCuts,2,0.9932
1,CliqueCuts,0,0.9932
1,CliqueCuts,1,0.9932
1,CliqueCuts,2,0.9932
1,CoverCuts,0,0.9932
1,CoverCuts,1,0.9932
1,CoverCuts,2,0.9932
1,FlowCoverCuts,0,0.9932
1,FlowCoverCuts,1,0.9932
1,FlowCoverCuts,2,0.9932
1,FlowPathCuts,0,0.9932
1,FlowPathCuts,1,0.9932
1,FlowPathCuts,2,0.9932
1,GUBCoverCuts,0,0.9932
1,GUBCoverCuts,1,0.9932
1,GUBCoverCuts,2,0.9932
1,ImpliedCuts,0,0.9932
1,ImpliedCuts,1,0.9932
1,ImpliedCuts,2,0.9932
1,InfProofCuts,0,0.9932
1,InfProofCuts,1,0.9932
1,InfProofCuts,2,0.9932
1,LiftProjectCuts,0,0.9932
1,LiftProjectCuts,1,0.9932
1,LiftProjectCuts,2,0.9932
1,MIPSepCuts,0,0.9932
1,MIPSepCuts,1,0.9932
1,MIPSepCuts,2,0.9233
1,MIRCuts,0,0.9932
1,MIRCuts,1,0.9932
1,MIRCuts,2,0.9932
1,MixingCuts,0,0.9932
1,MixingCuts,1,0.9932
1,MixingCuts,2,0.9932
1,ModKCuts,0,0.9932
1,ModKCuts,1,0.9932
1,ModKCuts,2,0.9932
1,NetworkCuts,0,0.9932
1,NetworkCuts,1,0.9932
1,NetworkCuts,2,0.9932
1,ProjImpliedCuts,0,0.9932
1,ProjImpliedCuts,1,0.9932
1,ProjImpliedCuts,2,0.9932
1,PSDCuts,0,0.9932
1,PSDCuts,1,0.9932
1,PSDCuts,2,0.9932
1,RelaxLiftCuts,0,0.9932
1,RelaxLiftCuts,1,0.9932
1,RelaxLiftCuts,2,0.9932
1,RLTCuts,0,0.9932
1,RLTCuts,1,0.9932
1,RLTCuts,2,0.9932
1,StrongCGCuts,0,0.9932
1,StrongCGCuts,1,0.9932
1,StrongCGCuts,2,0.9932
1,SubMIPCuts,0,0.9932
1,SubMIPCuts,1,0.9932
1,SubMIPCuts,2,0.9932
1,ZeroHalfCuts,0,0.9932
1,ZeroHalfCuts,1,0.9932
1,ZeroHalfCuts,2,0.9932
1,CutAggPasses,0,0.9932
1,CutAggPasses,1,0.9932
1,CutAggPasses,2,0.9932
1,CutPasses,0,0.9529
1,CutPasses,1,0.9932
1,CutPasses,2,0.9932
1,GomoryPasses,0,0.9932
1,GomoryPasses,1,0.9932
1,GomoryPasses,2,0.9932
2,None,N/A,0.9254
2,BQPCuts,0,0.9254
2,BQPCuts,1,0.9254
2,BQPCuts,2,0.9254
2,CliqueCuts,0,0.9254
2,CliqueCuts,1,0.9254
2,CliqueCuts,2,0.9254
2,CoverCuts,0,0.9932
2,CoverCuts,1,0.9254
2,CoverCuts,2,0.9254
2,FlowCoverCuts,0,0.9271
2,FlowCoverCuts,1,0.9254
2,FlowCoverCuts,2,0.9254
2,FlowPathCuts,0,0.9254
2,FlowPathCuts,1,0.9254
2,FlowPathCuts,2,0.9254
2,GUBCoverCuts,0,0.9254
2,GUBCoverCuts,1,0.9254
2,GUBCoverCuts,2,0.9254
2,ImpliedCuts,0,0.9254
2,ImpliedCuts,1,0.9254
2,ImpliedCuts,2,0.9254
2,InfProofCuts,0,0.9254
2,InfProofCuts,1,0.9254
2,InfProofCuts,2,0.9254
2,LiftProjectCuts,0,0.9254
2,LiftProjectCuts,1,0.9254
2,LiftProjectCuts,2,0.9254
2,MIPSepCuts,0,0.9932
2,MIPSepCuts,1,0.9932
2,MIPSepCuts,2,0.9254
2,MIRCuts,0,0.927
2,MIRCuts,1,0.9254
2,MIRCuts,2,0.9254
2,MixingCuts,0,0.9254
2,MixingCuts,1,0.9254
2,MixingCuts,2,0.9254
2,ModKCuts,0,0.9254
2,ModKCuts,1,0.9254
2,ModKCuts,2,0.9254
2,NetworkCuts,0,0.9254
2,NetworkCuts,1,0.9254
2,NetworkCuts,2,0.9254
2,ProjImpliedCuts,0,0.9254
2,ProjImpliedCuts,1,0.9254
2,ProjImpliedCuts,2,0.9254
2,PSDCuts,0,0.9254
2,PSDCuts,1,0.9254
2,PSDCuts,2,0.9254
2,RelaxLiftCuts,0,0.9263
2,RelaxLiftCuts,1,0.9254
2,RelaxLiftCuts,2,0.9254
2,RLTCuts,0,0.9254
2,RLTCuts,1,0.9254
2,RLTCuts,2,0.9254
2,StrongCGCuts,0,0.9254
2,StrongCGCuts,1,0.9254
2,StrongCGCuts,2,0.9254
2,SubMIPCuts,0,0.9254
2,SubMIPCuts,1,0.9254
2,SubMIPCuts,2,0.9215
2,ZeroHalfCuts,0,0.9254
2,ZeroHalfCuts,1,0.9254
2,ZeroHalfCuts,2,0.9254
2,CutAggPasses,0,0.9254
2,CutAggPasses,1,0.9254
2,CutAggPasses,2,0.9254
2,CutPasses,0,0.9529
2,CutPasses,1,0.9254
2,CutPasses,2,0.9254
2,GomoryPasses,0,0.9254
2,GomoryPasses,1,0.9254
2,GomoryPasses,2,0.9254
3,None,N/A,0.9254
3,BQPCuts,0,0.9254
3,BQPCuts,1,0.9254
3,BQPCuts,2,0.9254
3,CliqueCuts,0,0.9254
3,CliqueCuts,1,0.9254
3,CliqueCuts,2,0.9254
3,CoverCuts,0,0.9932
3,CoverCuts,1,0.9254
3,CoverCuts,2,0.9254
3,FlowCoverCuts,0,0.9271
3,FlowCoverCuts,1,0.9254
3,FlowCoverCuts,2,0.9254
3,FlowPathCuts,0,0.9254
3,FlowPathCuts,1,0.9254
3,FlowPathCuts,2,0.9254
3,GUBCoverCuts,0,0.9254
3,GUBCoverCuts,1,0.9254
3,GUBCoverCuts,2,0.9254
3,ImpliedCuts,0,0.9254
3,ImpliedCuts,1,0.9254
3,ImpliedCuts,2,0.9254
3,InfProofCuts,0,0.9254
3,InfProofCuts,1,0.9254
3,InfProofCuts,2,0.9254
3,LiftProjectCuts,0,0.9254
3,LiftProjectCuts,1,0.9254
3,LiftProjectCuts,2,0.9254
3,MIPSepCuts,0,0.9932
3,MIPSepCuts,1,0.9932
3,MIPSepCuts,2,0.9254
3,MIRCuts,0,0.927
3,MIRCuts,1,0.9254
3,MIRCuts,2,0.9254
3,MixingCuts,0,0.9254
3,MixingCuts,1,0.9254
3,MixingCuts,2,0.9254
3,ModKCuts,0,0.9254
3,ModKCuts,1,0.9254
3,ModKCuts,2,0.9254
3,NetworkCuts,0,0.9254
3,NetworkCuts,1,0.9254
3,NetworkCuts,2,0.9254
3,ProjImpliedCuts,0,0.9254
3,ProjImpliedCuts,1,0.9254
3,ProjImpliedCuts,2,0.9254
3,PSDCuts,0,0.9254
3,PSDCuts,1,0.9254
3,PSDCuts,2,0.9254
3,RelaxLiftCuts,0,0.9263
3,RelaxLiftCuts,1,0.9254
3,RelaxLiftCuts,2,0.9254
3,RLTCuts,0,0.9254
3,RLTCuts,1,0.9254
3,RLTCuts,2,0.9254
3,StrongCGCuts,0,0.9254
3,StrongCGCuts,1,0.9254
3,StrongCGCuts,2,0.9254
3,SubMIPCuts,0,0.9254
3,SubMIPCuts,1,0.9254
3,SubMIPCuts,2,0.9215
3,ZeroHalfCuts,0,0.9254
3,ZeroHalfCuts,1,0.9254
3,ZeroHalfCuts,2,0.9254
3,CutAggPasses,0,0.9254
3,CutAggPasses,1,0.9254
3,CutAggPasses,2,0.9254
3,CutPasses,0,0.9529
3,CutPasses,1,0.9254
3,CutPasses,2,0.9254
3,GomoryPasses,0,0.9254
3,GomoryPasses,1,0.9254
3,GomoryPasses,2,0.9254
